Word	POS	Entity_Value_Time	Event	Modality	Tense	Polarity	ID_Event	Argument
و		O	O	O	O	O	O	
شعارهای		O	O	O	O	O	O	
ترسناک		O	O	O	O	O	O	
!		O	O	O	O	O	O	
از		O	O	O	O	O	O	
درون		O	O	O	O	O	O	
تجمع		O	O	O	O	O	O	
انتخاباتی		O	O	O	O	O	O	
ترامپ		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
نفرت		O	O	O	O	O	O	
،		O	O	O	O	O	O	
خشونت		O	O	O	O	O	O	
و		O	O	O	O	O	O	
شعارهای		O	O	O	O	O	O	
ترسناک		O	O	O	O	O	O	
!		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2696">	begin	O	O	O	O	O	O	O
سیلاب		O	(B_Flood, EV_26_50388_152)	Asserted	Past	Positive	EV_26_50388_152	
و		O	O	O	O	O	O	
طغیان		O	O	O	O	O	O	
رودخانه		(B_Location, EN_26_16376_14)	O	O	O	O	O	(B_Source,EV_26_50387_932,EN_26_16376_14)(B_Participant,EV_26_50388_152,EN_26_16376_14)
راه		(B_Location, EN_26_16377_14)	O	O	O	O	O	(B_Target,EV_26_50387_932,EN_26_16377_14)(B_Place,EV_26_50388_152,EN_26_16377_14)
فنوج		(I_Location, EN_26_16377_14)	O	O	O	O	O	(I_Target,EV_26_50387_932,EN_26_16377_14)(I_Place,EV_26_50388_152,EN_26_16377_14)
-		O	O	O	O	O	O	
کتیج		(B_Location, EN_26_16370_14)	O	O	O	O	O	(B_Target,EV_26_50387_932,EN_26_16370_14)(B_Place,EV_26_50388_152,EN_26_16370_14)
را		O	O	O	O	O	O	
بست		O	(B_Ban, EV_26_50387_932)	Asserted	Past	Positive	EV_26_50387_932	
سیلاب		O	O	O	O	O	O	
و		O	O	O	O	O	O	
طغیان		O	O	O	O	O	O	
رودخانه		O	O	O	O	O	O	
راه		O	O	O	O	O	O	
فنوج		O	O	O	O	O	O	
-		O	O	O	O	O	O	
کتیج		O	O	O	O	O	O	
را		O	O	O	O	O	O	
بست		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2697">	begin	O	O	O	O	O	O	O
شکایت		O	(B_Complaint, EV_26_3805_183)	Asserted	Past	Positive	EV_26_3805_183	
برخی		O	O	O	O	O	O	
خانواده‌های		(B_Organization, EN_26_106042_12)	O	O	O	O	O	(B_Source,EV_26_3805_183,EN_26_106042_12)
قربانیان		(I_Organization, EN_26_106042_12)	O	O	O	O	O	(I_Source,EV_26_3805_183,EN_26_106042_12)
سقوط		(I_Organization, EN_26_106042_12)	O	O	O	O	O	(I_Source,EV_26_3805_183,EN_26_106042_12)
هواپیما		(I_Organization, EN_26_106042_12)	O	O	O	O	O	(I_Source,EV_26_3805_183,EN_26_106042_12)
در		O	O	O	O	O	O	
اتیوپی		(B_Location, EN_26_16388_14)	O	O	O	O	O	(B_Place,EV_26_3805_183,EN_26_16388_14)
از		O	O	O	O	O	O	
بوئینگ		(B_Organization, EN_26_16389_12)	O	O	O	O	O	(B_Target,EV_26_3805_183,EN_26_16389_12)
شکایت		O	O	O	O	O	O	
برخی		O	O	O	O	O	O	
خانواده‌های		O	O	O	O	O	O	
قربانیان		O	O	O	O	O	O	
سقوط		O	O	O	O	O	O	
هواپیما		O	O	O	O	O	O	
در		O	O	O	O	O	O	
اتیوپی		O	O	O	O	O	O	
از		O	O	O	O	O	O	
بوئینگ		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2700">	begin	O	O	O	O	O	O	O
فرار		O	(B_Escape, EV_26_3808_174)	Asserted	Past	Positive	EV_26_3808_174	
مدیران		(B_Person, EN_26_16390_15)	O	O	O	O	O	(B_Source,EV_26_3808_174,EN_26_16390_15)
و		O	O	O	O	O	O	
مسئولان		(B_Person, EN_26_16393_15)	O	O	O	O	O	(B_Source,EV_26_3808_174,EN_26_16393_15)
نظام		(I_Person, EN_26_16393_15)	O	O	O	O	O	(I_Source,EV_26_3808_174,EN_26_16393_15)
شدت		O	O	O	O	O	O	
گرفته		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
یک		O	O	O	O	O	O	
مقام		(B_Person, EN_26_16395_15)	O	O	O	O	O	
ارشد		(I_Person, EN_26_16395_15)	O	O	O	O	O	
نیروی		(I_Person, EN_26_16395_15)	O	O	O	O	O	
انتظامی		(I_Person, EN_26_16395_15)	O	O	O	O	O	
می‌گوید		O	O	O	O	O	O	
استرداد		O	(B_Extradite, EV_26_3809_237)	Asserted	Past	Positive	EV_26_3809_237	
متهمان		(B_Person, EN_26_16399_15)	O	O	O	O	O	(B_Target,EV_26_3809_237,EN_26_16399_15)
فاسد		(I_Person, EN_26_16399_15)	O	O	O	O	O	(I_Target,EV_26_3809_237,EN_26_16399_15)
به		O	O	O	O	O	O	
ایران		(B_Location, EN_26_16401_14)	O	O	O	O	O	(B_Place,EV_26_3809_237,EN_26_16401_14)
بیشتر		O	O	O	O	O	O	
شده		O	O	O	O	O	O	
!		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2701">	begin	O	O	O	O	O	O	O
فرهاد		(B_Person, EN_26_16402_15)	O	O	O	O	O	
آگاهی		(I_Person, EN_26_16402_15)	O	O	O	O	O	
،		(I_Person, EN_26_16402_15)	O	O	O	O	O	
رئیس		(I_Person, EN_26_16402_15)	O	O	O	O	O	
هیئت		(I_Person, EN_26_16402_15)	O	O	O	O	O	
مدیره		(I_Person, EN_26_16402_15)	O	O	O	O	O	
انجمن		(I_Person, EN_26_16402_15)	O	O	O	O	O	
واردکنندگان		(I_Person, EN_26_16402_15)	O	O	O	O	O	
فرآورده‌های		(I_Person, EN_26_16402_15)	O	O	O	O	O	
خام		(I_Person, EN_26_16402_15)	O	O	O	O	O	
دامی		(I_Person, EN_26_16402_15)	O	O	O	O	O	
ایران		(I_Person, EN_26_16402_15)	O	O	O	O	O	
:		O	O	O	O	O	O	
انباشت		O	O	O	O	O	O	
نقدینگی		(B_Facility, EN_26_16415_17)	O	O	O	O	O	
اقتصاد		O	O	O	O	O	O	
ایران		(B_Geo-Political Entity, EN_26_16416_13)	O	O	O	O	O	
را		O	O	O	O	O	O	
به		O	O	O	O	O	O	
گروگان		O	O	O	O	O	O	
گرفته		O	O	O	O	O	O	
است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2702">	begin	O	O	O	O	O	O	O
قره		(B_Person, EN_26_16428_15)	O	O	O	O	O	
خاتنی		(I_Person, EN_26_16428_15)	O	O	O	O	O	
تشریح		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
:		O	O	O	O	O	O	
موافقت		O	O	O	O	O	O	
اوپک		(B_Organization, EN_26_16430_12)	O	O	O	O	O	(B_Participant,EV_26_3829_220,EN_26_16430_12)
با		O	O	O	O	O	O	
تمدید		O	O	O	O	O	O	
9		(B_Time, EN_26_16431_18)	O	O	O	O	O	(B_Time,EV_26_3829_220,EN_26_16431_18)
ماهه		(I_Time, EN_26_16431_18)	O	O	O	O	O	(I_Time,EV_26_3829_220,EN_26_16431_18)
کاهش		O	(B_Production Drop, EV_26_3829_220)	Asserted	Past	Positive	EV_26_3829_220	
تولید		O	(I_Production Drop, EV_26_3829_220)	O	O	O	EV_26_3829_220	
نفت		O	(I_Production Drop, EV_26_3829_220)	O	O	O	EV_26_3829_220	
چه		O	O	O	O	O	O	
تاثیری		O	O	O	O	O	O	
بر		O	O	O	O	O	O	
قیمت		O	O	O	O	O	O	
نفت		O	O	O	O	O	O	
ایران		O	O	O	O	O	O	
دارد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2705">	begin	O	O	O	O	O	O	O
کریستیانو		(B_Person, EN_26_16445_15)	O	O	O	O	O	
رونالدو		(I_Person, EN_26_16445_15)	O	O	O	O	O	
با		O	O	O	O	O	O	
14		(B_Numeric, EN_26_16447_19)	O	O	O	O	O	
گل		(I_Numeric, EN_26_16447_19)	O	O	O	O	O	
زده		(I_Numeric, EN_26_16447_19)	O	O	O	O	O	
در		O	O	O	O	O	O	
سال		(B_Time, EN_26_16450_18)	O	O	O	O	O	
2019		(I_Time, EN_26_16450_18)	O	O	O	O	O	
،		O	O	O	O	O	O	
رکورد		O	O	O	O	O	O	
گل‌های		O	O	O	O	O	O	
ملی		O	O	O	O	O	O	
خودش		O	O	O	O	O	O	
را		O	O	O	O	O	O	
در		O	O	O	O	O	O	
یک		(B_Time, EN_26_16452_18)	O	O	O	O	O	
سال		(I_Time, EN_26_16452_18)	O	O	O	O	O	
میلادی		(I_Time, EN_26_16452_18)	O	O	O	O	O	
ارتقا		O	O	O	O	O	O	
بخشید		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2706">	begin	O	O	O	O	O	O	O
کشف		O	(B_Discovery, EV_26_3820_267)	Asserted	Past	Positive	EV_26_3820_267	
بیش		O	O	O	O	O	O	
از		O	O	O	O	O	O	
2		(B_Numeric, EN_26_16463_19)	O	O	O	O	O	
میلیارد		(I_Numeric, EN_26_16463_19)	O	O	O	O	O	
ریال		(I_Numeric, EN_26_16463_19)	O	O	O	O	O	
کالای		(B_Facility, EN_26_16461_17)	O	O	O	O	O	(B_Target,EV_26_3820_267,EN_26_16461_17)
قاچاق		(I_Facility, EN_26_16461_17)	O	O	O	O	O	(I_Target,EV_26_3820_267,EN_26_16461_17)
در		O	O	O	O	O	O	
هندیجان		(B_Location, EN_26_16460_14)	O	O	O	O	O	(B_Place,EV_26_3820_267,EN_26_16460_14)
کشف		O	O	O	O	O	O	
بیش		O	O	O	O	O	O	
از		O	O	O	O	O	O	
2		O	O	O	O	O	O	
میلیارد		O	O	O	O	O	O	
ریال		O	O	O	O	O	O	
کالای		O	O	O	O	O	O	
قاچاق		O	O	O	O	O	O	
در		O	O	O	O	O	O	
هندیجان		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2707">	begin	O	O	O	O	O	O	O
کن		(B_Person, EN_26_16466_15)	O	O	O	O	O	(B_Target,EV_26_3821_210,EN_26_16466_15)
لیوینگستون		(I_Person, EN_26_16466_15)	O	O	O	O	O	(I_Target,EV_26_3821_210,EN_26_16466_15)
پس		O	O	O	O	O	O	
از		O	O	O	O	O	O	
اینکه		O	O	O	O	O	O	
گفت		O	O	O	O	O	O	
آدولف		(B_Person, EN_26_16468_15)	O	O	O	O	O	(B_Source,EV_26_3821_210,EN_26_16468_15)
هیتلر		(I_Person, EN_26_16468_15)	O	O	O	O	O	(I_Source,EV_26_3821_210,EN_26_16468_15)
یک		(I_Person, EN_26_16468_15)	O	O	O	O	O	(I_Source,EV_26_3821_210,EN_26_16468_15)
صهیونیست		(I_Person, EN_26_16468_15)	O	O	O	O	O	(I_Source,EV_26_3821_210,EN_26_16468_15)
بوده		(I_Person, EN_26_16468_15)	O	O	O	O	O	(I_Source,EV_26_3821_210,EN_26_16468_15)
است		(I_Person, EN_26_16468_15)	O	O	O	O	O	(I_Source,EV_26_3821_210,EN_26_16468_15)
،		O	O	O	O	O	O	
از		O	O	O	O	O	O	
کار		O	O	O	O	O	O	
با		O	O	O	O	O	O	
حزبِ		(B_Organization, EN_26_16476_12)	O	O	O	O	O	(B_Occupation,EV_26_3821_210,EN_26_16476_12)
کارگرِ		(I_Organization, EN_26_16476_12)	O	O	O	O	O	(I_Occupation,EV_26_3821_210,EN_26_16476_12)
بریتانیا		(I_Organization, EN_26_16476_12)	O	O	O	O	O	(I_Occupation,EV_26_3821_210,EN_26_16476_12)
معلق		O	(B_End Position, EV_26_3821_210)	Asserted	Past	Positive	EV_26_3821_210	
شد		O	(I_End Position, EV_26_3821_210)	O	O	O	EV_26_3821_210	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2708">	begin	O	O	O	O	O	O	O
کودک		(B_Person, EN_26_16479_15)	O	O	O	O	O	(B_Participant,EV_26_3823_137,EN_26_16479_15)(B_Participant,EV_26_3824_134,EN_26_16479_15)
پنج‌ساله		(I_Person, EN_26_16479_15)	O	O	O	O	O	(I_Participant,EV_26_3823_137,EN_26_16479_15)(I_Participant,EV_26_3824_134,EN_26_16479_15)
در		O	O	O	O	O	O	
نرجه		(B_Location, EN_26_16481_14)	O	O	O	O	O	(B_Place,EV_26_3823_137,EN_26_16481_14)
تاکستان		(I_Location, EN_26_16481_14)	O	O	O	O	O	(I_Place,EV_26_3823_137,EN_26_16481_14)
بر		O	O	O	O	O	O	
اثر		O	O	O	O	O	O	
غرق‌شدگی		O	(B_Drowning, EV_26_3823_137)	Asserted	Past	Positive	EV_26_3823_137	
جان		O	(B_Death, EV_26_3824_134)	Asserted	Past	Positive	EV_26_3824_134	
باخت		O	(I_Death, EV_26_3824_134)	O	O	O	EV_26_3824_134	
کودک		O	O	O	O	O	O	
پنج‌ساله		O	O	O	O	O	O	
در		O	O	O	O	O	O	
نرجه		O	O	O	O	O	O	
تاکستان		O	O	O	O	O	O	
بر		O	O	O	O	O	O	
اثر		O	O	O	O	O	O	
غرق‌شدگی		O	O	O	O	O	O	
جان		O	O	O	O	O	O	
باخت		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2709">	begin	O	O	O	O	O	O	O
گزارش		O	O	O	O	O	O	
استاندار		(B_Person, EN_26_16483_15)	O	O	O	O	O	
از		O	O	O	O	O	O	
تلاش‌ها		O	O	O	O	O	O	
برای		O	O	O	O	O	O	
خروج		O	O	O	O	O	O	
راه‌آهن		O	O	O	O	O	O	
فارس		O	O	O	O	O	O	
از		O	O	O	O	O	O	
بن‌بست		O	O	O	O	O	O	
گزارش		O	O	O	O	O	O	
استاندار		O	O	O	O	O	O	
از		O	O	O	O	O	O	
تلاش‌ها		O	O	O	O	O	O	
برای		O	O	O	O	O	O	
خروج		O	O	O	O	O	O	
راه‌آهن		O	O	O	O	O	O	
فارس		O	O	O	O	O	O	
از		O	O	O	O	O	O	
بن‌بست		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2710">	begin	O	O	O	O	O	O	O
گوترش		(B_Person, EN_26_16484_15)	O	O	O	O	O	(B_Source,EV_26_3826_244,EN_26_16484_15)
حمله		O	(B_Attack, EV_26_3828_164)	Asserted	Past	Positive	EV_26_3828_164	
به		O	O	O	O	O	O	
مرکز		(B_Organization, EN_26_16485_12)	O	O	O	O	O	(B_Target,EV_26_3828_164,EN_26_16485_12)
مهاجران		(I_Organization, EN_26_16485_12)	O	O	O	O	O	(I_Target,EV_26_3828_164,EN_26_16485_12)
در		O	O	O	O	O	O	
طرابلس		(B_Location, EN_26_16487_14)	O	O	O	O	O	(B_Place,EV_26_3828_164,EN_26_16487_14)
را		O	O	O	O	O	O	
محکوم		O	(B_Condemn, EV_26_3826_244)	Asserted	Past	Positive	EV_26_3826_244	
کرد		O	(I_Condemn, EV_26_3826_244)	O	O	O	EV_26_3826_244	
گوترش		O	O	O	O	O	O	
حمله		O	O	O	O	O	O	
به		O	O	O	O	O	O	
مرکز		O	O	O	O	O	O	
مهاجران		O	O	O	O	O	O	
در		O	O	O	O	O	O	
طرابلس		O	O	O	O	O	O	
را		O	O	O	O	O	O	
محکوم		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2711">	begin	O	O	O	O	O	O	O
لاوروف		(B_Person, EN_26_16533_15)	O	O	O	O	O	
:		O	O	O	O	O	O	
اقدامات		O	O	O	O	O	O	
آمریکا		(B_Geo-Political Entity, EN_26_16532_13)	O	O	O	O	O	
منجر		O	O	O	O	O	O	
به		O	O	O	O	O	O	
خلق		(B_Organization, EN_26_16534_12)	O	O	O	O	O	
القاعده		(I_Organization, EN_26_16534_12)	O	O	O	O	O	
و		O	O	O	O	O	O	
داعش		(B_Organization, EN_26_16536_12)	O	O	O	O	O	
شد		O	O	O	O	O	O	
لاوروف		O	O	O	O	O	O	
:		O	O	O	O	O	O	
اقدامات		O	O	O	O	O	O	
آمریکا		O	O	O	O	O	O	
منجر		O	O	O	O	O	O	
به		O	O	O	O	O	O	
خلق		O	O	O	O	O	O	
القاعده		O	O	O	O	O	O	
و		O	O	O	O	O	O	
داعش		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2712">	begin	O	O	O	O	O	O	O
مجتبی		(B_Person, EN_26_16488_15)	O	O	O	O	O	(B_Target,EV_26_3832_157,EN_26_16488_15)
ذوالنور		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
،		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
نماینده		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
قم		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
و		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
رئیس		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
کمیسیون		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
امنیت		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
مجلس		(I_Person, EN_26_16488_15)	O	O	O	O	O	(I_Target,EV_26_3832_157,EN_26_16488_15)
در		O	O	O	O	O	O	
پستی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
اینستاگرام		O	O	O	O	O	O	
تایید		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
به		O	O	O	O	O	O	
کرونا		O	(B_Epidemics, EV_26_3832_157)	Asserted	Past	Positive	EV_26_3832_157	
مبتلا		O	O	O	O	O	O	
شده‌است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2713">	begin	O	O	O	O	O	O	O
محمد		(B_Person, EN_26_16499_15)	O	O	O	O	O	(B_Participant,EV_26_3834_255,EN_26_16499_15)(B_Source,EV_26_3833_262,EN_26_16499_15)
اشرف		(I_Person, EN_26_16499_15)	O	O	O	O	O	(I_Participant,EV_26_3834_255,EN_26_16499_15)(I_Source,EV_26_3833_262,EN_26_16499_15)
غنی		(I_Person, EN_26_16499_15)	O	O	O	O	O	(I_Participant,EV_26_3834_255,EN_26_16499_15)(I_Source,EV_26_3833_262,EN_26_16499_15)
و		O	O	O	O	O	O	
عبدالله		(B_Person, EN_26_16502_15)	O	O	O	O	O	(B_Participant,EV_26_3834_255,EN_26_16502_15)(B_Source,EV_26_3833_262,EN_26_16502_15)
عبدالله		(I_Person, EN_26_16502_15)	O	O	O	O	O	(I_Participant,EV_26_3834_255,EN_26_16502_15)(I_Source,EV_26_3833_262,EN_26_16502_15)
دو		O	O	O	O	O	O	
رقیب		O	O	O	O	O	O	
اصلی		O	O	O	O	O	O	
انتخابات		O	(B_Election Candidacy, EV_26_3833_262)	Asserted	Past	Positive	EV_26_3833_262	
ریاست		O	O	O	O	O	O	
جمهوری		O	O	O	O	O	O	
افغانستان		(B_Geo-Political Entity, EN_26_16504_13)	O	O	O	O	O	(B_Place,EV_26_3834_255,EN_26_16504_13)
همزمان		O	O	O	O	O	O	
با		O	O	O	O	O	O	
هم		O	O	O	O	O	O	
مراسم		O	(B_Ceremony, EV_26_3834_255)	Asserted	Past	Positive	EV_26_3834_255	
تحلیف		O	O	O	O	O	O	
برگزار		O	O	O	O	O	O	
کردند		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2714">	begin	O	O	O	O	O	O	O
مدیرکل		(B_Person, EN_26_16505_15)	O	O	O	O	O	
روابط		(I_Person, EN_26_16505_15)	O	O	O	O	O	
عمومی		(I_Person, EN_26_16505_15)	O	O	O	O	O	
استانداری		(I_Person, EN_26_16505_15)	O	O	O	O	O	
خوزستان		(I_Person, EN_26_16505_15)	O	O	O	O	O	
در		O	O	O	O	O	O	
گفت		O	O	O	O	O	O	
وگو		O	O	O	O	O	O	
با		O	O	O	O	O	O	
برنا		(B_Organization, EN_26_16510_12)	O	O	O	O	O	
تایید		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
:		O	O	O	O	O	O	
استاندار		(B_Person, EN_26_16511_15)	O	O	O	O	O	
خوزستان		(I_Person, EN_26_16511_15)	O	O	O	O	O	
مجددا		O	O	O	O	O	O	
تحت		O	O	O	O	O	O	
عمل		O	O	O	O	O	O	
جراحی		O	O	O	O	O	O	
قرار		O	O	O	O	O	O	
گرفت		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2715">	begin	O	O	O	O	O	O	O
مراحلی		O	O	O	O	O	O	
که		O	O	O	O	O	O	
باید		O	O	O	O	O	O	
پس		O	O	O	O	O	O	
از		O	O	O	O	O	O	
مفقود		O	O	O	O	O	O	
شدن		O	O	O	O	O	O	
گذرنامه		O	O	O	O	O	O	
طی		O	O	O	O	O	O	
شود		O	O	O	O	O	O	
مراحلی		O	O	O	O	O	O	
که		O	O	O	O	O	O	
باید		O	O	O	O	O	O	
پس		O	O	O	O	O	O	
از		O	O	O	O	O	O	
مفقود		O	O	O	O	O	O	
شدن		O	O	O	O	O	O	
گذرنامه		O	O	O	O	O	O	
طی		O	O	O	O	O	O	
شود		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2716">	begin	O	O	O	O	O	O	O
مشاور		(B_Person, EN_26_16523_15)	O	O	O	O	O	
شهردار		(I_Person, EN_26_16523_15)	O	O	O	O	O	
در		(I_Person, EN_26_16523_15)	O	O	O	O	O	
امور		(I_Person, EN_26_16523_15)	O	O	O	O	O	
حقوق		(I_Person, EN_26_16523_15)	O	O	O	O	O	
شهروندی		(I_Person, EN_26_16523_15)	O	O	O	O	O	
و		O	O	O	O	O	O	
مدیر		(B_Person, EN_26_16514_15)	O	O	O	O	O	
بازرسی		(I_Person, EN_26_16514_15)	O	O	O	O	O	
شهرداری		(I_Person, EN_26_16514_15)	O	O	O	O	O	
فردیس		(I_Person, EN_26_16514_15)	O	O	O	O	O	
مطرح		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
:		O	O	O	O	O	O	
تخریب		O	(B_Destruction, EV_26_3837_169)	Asserted	Past	Positive	EV_26_3837_169	
5		(B_Numeric, EN_26_16519_19)	O	O	O	O	O	(B_Number of Targets,EV_26_3837_169,EN_26_16519_19)
مورد		(I_Numeric, EN_26_16519_19)	O	O	O	O	O	(I_Number of Targets,EV_26_3837_169,EN_26_16519_19)
تخلف		(I_Numeric, EN_26_16519_19)	O	O	O	O	O	(I_Number of Targets,EV_26_3837_169,EN_26_16519_19)
ساختمانی		(I_Numeric, EN_26_16519_19)	O	O	O	O	O	(I_Number of Targets,EV_26_3837_169,EN_26_16519_19)
در		O	O	O	O	O	O	
فردیس		(B_Location, EN_26_16518_14)	O	O	O	O	O	(B_Place,EV_26_3837_169,EN_26_16518_14)
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2717">	begin	O	O	O	O	O	O	O
معاون		(B_Person, EN_26_20836_15)	O	O	O	O	O	
حقوق		(I_Person, EN_26_20836_15)	O	O	O	O	O	
بشر		(I_Person, EN_26_20836_15)	O	O	O	O	O	
و		(I_Person, EN_26_20836_15)	O	O	O	O	O	
امور		(I_Person, EN_26_20836_15)	O	O	O	O	O	
بین‌الملل		(I_Person, EN_26_20836_15)	O	O	O	O	O	
وزیر		(I_Person, EN_26_20836_15)	O	O	O	O	O	
دادگستری		(I_Person, EN_26_20836_15)	O	O	O	O	O	
:		O	O	O	O	O	O	
رویکرد		O	O	O	O	O	O	
تفکر		O	O	O	O	O	O	
کلامی		O	O	O	O	O	O	
به		O	O	O	O	O	O	
اخلاقیات		O	O	O	O	O	O	
راه		O	O	O	O	O	O	
برون‌رفت		O	O	O	O	O	O	
از		O	O	O	O	O	O	
چالش‌های		O	O	O	O	O	O	
دنیای		O	O	O	O	O	O	
اسلام		O	O	O	O	O	O	
است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2718">	begin	O	O	O	O	O	O	O
معاون		(B_Person, EN_26_16539_15)	O	O	O	O	O	
دفتر		(I_Person, EN_26_16539_15)	O	O	O	O	O	
حمایت		(I_Person, EN_26_16539_15)	O	O	O	O	O	
از		(I_Person, EN_26_16539_15)	O	O	O	O	O	
تولید		(I_Person, EN_26_16539_15)	O	O	O	O	O	
صنایع‌دستی		(I_Person, EN_26_16539_15)	O	O	O	O	O	
سازمان		(I_Person, EN_26_16539_15)	O	O	O	O	O	
میراث		(I_Person, EN_26_16539_15)	O	O	O	O	O	
فرهنگی		(I_Person, EN_26_16539_15)	O	O	O	O	O	
:		(I_Person, EN_26_16539_15)	O	O	O	O	O	
محصولات		(B_Facility, EN_26_16550_17)	O	O	O	O	O	
کپی		(I_Facility, EN_26_16550_17)	O	O	O	O	O	
چینی		(I_Facility, EN_26_16550_17)	O	O	O	O	O	
هرگز		O	O	O	O	O	O	
توان		O	O	O	O	O	O	
رقابت		O	O	O	O	O	O	
با		O	O	O	O	O	O	
صنایع‌دستی		(B_Facility, EN_26_16554_17)	O	O	O	O	O	
ایرانی		(I_Facility, EN_26_16554_17)	O	O	O	O	O	
را		O	O	O	O	O	O	
ندارند		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2719">	begin	O	O	O	O	O	O	O
منابع		(B_Organization, EN_26_16556_12)	O	O	O	O	O	
آگاه		(I_Organization, EN_26_16556_12)	O	O	O	O	O	
:		(I_Organization, EN_26_16556_12)	O	O	O	O	O	
توافق		O	O	O	O	O	O	
کاهش		O	(B_Production Drop, EV_26_3841_220)	Asserted	Future	Positive	EV_26_3841_220	
تولید		O	(I_Production Drop, EV_26_3841_220)	O	O	O	EV_26_3841_220	
تا		O	O	O	O	O	O	
مارس		(B_Time, EN_26_16559_18)	O	O	O	O	O	(B_Time,EV_26_3841_220,EN_26_16559_18)
2020		(I_Time, EN_26_16559_18)	O	O	O	O	O	(I_Time,EV_26_3841_220,EN_26_16559_18)
تمدید		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
منابع		O	O	O	O	O	O	
آگاه		O	O	O	O	O	O	
:		O	O	O	O	O	O	
توافق		O	O	O	O	O	O	
کاهش		O	O	O	O	O	O	
تولید		O	O	O	O	O	O	
تا		O	O	O	O	O	O	
مارس		O	O	O	O	O	O	
2020		O	O	O	O	O	O	
تمدید		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2720">	begin	O	O	O	O	O	O	O
نشریه		O	O	O	O	O	O	
&quot		(B_Organization, EN_26_22418_12)	O	O	O	O	O	
;		(I_Organization, EN_26_22418_12)	O	O	O	O	O	
فارین‌پالسی&quot		(I_Organization, EN_26_22418_12)	O	O	O	O	O	
;		(I_Organization, EN_26_22418_12)	O	O	O	O	O	
مطرح		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
مسئول		(B_Person, EN_26_105862_15)	O	O	O	O	O	
اصلی		(I_Person, EN_26_105862_15)	O	O	O	O	O	
کودتای		(I_Person, EN_26_105862_15)	O	O	O	O	O	
28		(I_Person, EN_26_105862_15)	O	O	O	O	O	
مرداد		(I_Person, EN_26_105862_15)	O	O	O	O	O	
آمریکا		(B_Geo-Political Entity, EN_26_22427_13)	O	O	O	O	O	
بود		O	O	O	O	O	O	
یا		O	O	O	O	O	O	
انگلیس		(B_Person, EN_26_22437_15)	O	O	O	O	O	
؟		O	O	O	O	O	O	
چه		O	O	O	O	O	O	
